,Venue,Latitude,Longitude,Group,Category
0,Colham Manor School,51.526758,-0.459397,Education,Preschool
1,Whitehall infants school,51.54078674316406,-0.48129189014434814,Education,Preschool
4,New Road Pre-school,51.648372,-0.453441,Education,Preschool
5,Bright Horizons Esher Day Nursery and Preschool,51.36979795311987,-0.36843047238733106,Education,Preschool
6,South Ruislip Childrenâ€™s Centre,51.559339,-0.390683,Education,Preschool
7,Bright Horizons Epsom Waltham House Day Nursery and Preschool,51.32967523557951,-0.2630982481649653,Education,Preschool
8,Toad Hall Nursery,51.36209613097352,-0.30353765000131594,Education,Preschool
10,Bright Horizons Kingston Victoria Road Day Nursery and Preschool,51.40948578943785,-0.29335586772526767,Education,Preschool
12,Bright Horizons Chiswick Day Nursery and Preschool,51.476479835865035,-0.26748244907378194,Education,Preschool
13,scoala nr 7 giurgiu,51.575658,-0.308914,Education,Preschool
14,Kid Universe (Kids Universe Montrisori and Day Nursery (Kenton)),51.58016075412432,-0.29022645761964005,Education,Preschool
16,Cheam Common Infants' School,51.37593534838188,-0.23836562848854612,Education,Preschool
19,MMI Preschool,51.413748,-0.236406,Education,Preschool
21,Bright Horizons Fulham Day Nursery and Preschool,51.4743538,-0.204117,Education,Preschool
22,Bright Horizons West Hill Day Nursery and Preschool,51.457017000000015,-0.2010292944773937,Education,Preschool
23,Piccolo Pre School,51.488085534312255,-0.2570329705696395,Education,Preschool
24,Mace Montessori Ravenscourt Park,51.494168,-0.235687,Education,Preschool
25,Toddle Town,51.48144884390509,-0.26397966038649784,Education,Preschool
27,Quuen's Park Primary School ðŸŽ’,51.529114505263976,-0.20747565904981505,Education,Preschool
29,Hopscotch Nursery,51.540259,-0.2093806,Education,Preschool
30,Tiska Karate,51.608766002820595,-0.2323672944773989,Education,Preschool
31,Bright Horizons Golders Green Day Nursery and Preschool,51.577198155082385,-0.20569141706164373,Education,Preschool
32,Step by Step Montessori,51.61471200381078,-0.26192440850053356,Education,Preschool
33,Bright Horizons Coulsdon Day Nursery and Preschool,51.32044895355838,-0.1404002098216779,Education,Preschool
34,The Old Barn day nursery,51.3243857,-0.192891,Education,Preschool
35,Bright Horizons Battersea Day Nursery and Preschool,51.471329571916726,-0.16503518749959767,Education,Preschool
36,Northcote House Day Nursery,51.45763119,-0.16633185,Education,Preschool
38,Bright Horizons Clapham Day Nursery and Preschool,51.46222907141138,-0.13963002943035008,Education,Preschool
39,Bright Horizons Tooting Looking Glass Day Nursery and Preschool,51.43158649867532,-0.1511629585886567,Education,Preschool
40,Halford Road School feat. 1889,51.483757,-0.197797,Education,Preschool
42,Fort 4 Fun,51.486176603358324,-0.22125506540760398,Education,Preschool
43,Little Sweethearts Montessori School,51.523728,-0.184147,Education,Preschool
45,St Christopher's School,51.550997,-0.169529,Education,Preschool
49,Bright Horizons Crouch End Fields Day Nursery and Preschool,51.5816761,-0.1315506,Education,Preschool
50,Bright Horizons North Finchley Day Nursery and Preschool,51.61028183051571,-0.18146919722914845,Education,Preschool
51,Academy 4 Kids Day Nursery,51.62524,-0.1692612,Education,Preschool
56,Bright Horizons Chelsea Day Nursery and Preschool,51.487203617441985,-0.15022728836061106,Education,Preschool
57,Queensbridge primary school,51.539818117685385,-0.07084165471894545,Education,Preschool
60,Bowes Park Nursery,51.6066918,-0.1198276,Education,Preschool
62,Bright Horizons Southgate Day Nursery and Preschool,51.63329031309589,-0.12857583067113865,Education,Preschool
65,Bright Horizons Salcombe Day Nursery and Preschool,51.625239009268725,-0.12399694477460343,Education,Preschool
66,Burford Pre-School,51.622675,-0.110038,Education,Preschool
68,Caterham The Laurels Day Nursery and Preschool,51.29009936599537,-0.0890035294932134,Education,Preschool
69,st peters pre-school,51.394683816209536,-0.008044608228247409,Education,Preschool
70,Bright Horizons Greenwich Day Nursery and Preschool,51.4773765,-0.0165612,Education,Preschool
72,Academic Day Nursery,51.55603,-0.089608,Education,Preschool
73,Monkey Puzzle Stoke Newington,51.55997035,-0.07369168,Education,Preschool
75,Riverside Nursery,51.5644936,-0.0487573,Education,Preschool
76,Brook house primay schhol,51.60819893166233,-0.06803341753489828,Education,Preschool
80,Bright Horizons Blackheath Day Nursery and Preschool,51.4583969772068,0.010910958287013273,Education,Preschool
81,Bright Horizons Lee Park Day Nursery and Preschool,51.45809100032305,0.006151866594564126,Education,Preschool
82,Bright Horizons Canada Square Day Nursery and Preschool,51.503951,-0.016554,Education,Preschool
84,Bright Horizons East India Dock Day Nursery,51.509143826551814,-0.0019959300593654916,Education,Preschool
87,Bright Horizons Woodford Woodlands Day Nursery and Preschool,51.601927,0.01909,Education,Preschool
88,Little Bear's Daycare Group,51.5752384,0.0285843,Education,Preschool
89,Bright Horizons Highams Park Day Nursery and Preschool,51.607701552703425,0.0013338239252789208,Education,Preschool
91,leverton infant school,51.681939,0.019329,Education,Preschool
93,Bright Horizons New Eltham Day Nursery and Preschool,51.43653876125854,0.06191030431023137,Education,Preschool
95,Pound Park Nursery School,51.48822371389993,0.03972472293632737,Education,Preschool
97,Busy Bees Preschool,51.458557,0.138353,Education,Preschool
98,Treetops Preschool,51.459577285888784,0.16431577767501215,Education,Preschool
100,Mulberry Bush Pre School,51.596784285891246,0.2103137679162927,Education,Preschool
